system_id,gamma_pdc,tier,matched,n_candidates,technology,raw_manufacturer,raw_model,capacity_kw,module_watts,delta_vs_old
10073,-0.0043,cec_manufacturer,SOLARWORLD,89,mono-Si,Solar World Mono,Solar World Mono,8.64,240.0,0.00019999999999999966
10074,-0.0054439499999999995,cec_module,ES220,2,multi-Si,evergreen es220,evergreen es220,5.28,220.0,-0.0009439499999999998
10075,-0.0045119999999999995,cec_module,MS08,7,mono-Si,Schuco MPE 255 MS08,Schuco MPE 255 MS08,6.375,255.0,-1.1999999999999858e-05
10076,-0.0045,fleet_default,cec_xsi_median,0,Unknown,motech,motech,7.05,235.0,0.0
10077,-0.00458,cec_module,SHARPNUQ240F2,1,mono-Si,Sharp NU-Q240F2,Sharp NU-Q240F2,5.76,240.0,-8.000000000000021e-05
10078,-0.004301,cec_manufacturer,SUNTECH,243,mono-Si,Suntech 240 Mono,Suntech 240 Mono,6.48,240.0,0.00019899999999999952
10079,-0.0045000000000000005,cec_module,ETP660250WB,8,multi-Si,ET Solar,et-p660250wb,6.0,250.0,-8.673617379884035e-19
10080,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,Solar World SW 255,Solar World SW 255,12.9,215.0,0.00019999999999999966
10081,-0.004515,cec_technology,Multi-c-Si,11221,multi-Si,Evergreen ES-E 220-fc3,Evergreen ES-E 220-fc3,4.4,220.0,-1.5000000000000256e-05
10082,-0.00456,cec_manufacturer,SILIKEN,146,multi-Si,Siliken-SLK60P6L,Siliken-SLK60P6L,3.536,221.0,-6.000000000000016e-05
10083,-0.0045000000000000005,cec_module,255W,52,Unknown,Solar World 255W,Solar World 255W,4.59,255.0,-8.673617379884035e-19
10085,-0.004739999999999999,cec_module,SLK60P6L,45,multi-Si,SLK60P6L/nu-u240f1,SLK60P6L/nu-u240f1,6.72,240.0,-0.00023999999999999976
10086,-0.00441,cec_module,BP6235,3,multi-Si,CENTRO SOLAR BP6235,CENTRO SOLAR BP6235,9.4,235.0,8.99999999999998e-05
10087,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,Solar world 255,Solar world 255,4.335,255.0,0.00019999999999999966
10088,-0.0045,fleet_default,cec_xsi_median,0,Unknown,Grape Solar,Grape Solar,2.5,250.0,0.0
10089,-0.004529999999999999,cec_module,SW240MONO,2,mono-Si,SolarWorld SW240mono,SolarWorld SW240mono,14.4,240.0,-2.9999999999999645e-05
10092,-0.00466,cec_manufacturer,SCHOTT,37,Unknown,Schott,Schott,4.725,175.0,-0.00016000000000000042
10093,-0.005026,cec_module,245W,1,Unknown,Solarworld 245W and 250W,Solarworld 245W and 250W,6.3,225.0,-0.0005260000000000004
10094,-0.00456,cec_manufacturer,SILIKEN,146,Unknown,siliken,siliken,6.37,245.0,-6.000000000000016e-05
10095,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,SolarWorld,SolarWorld,4.8,240.0,0.00019999999999999966
10096,-0.004436,cec_module,HISS250MG,2,mono-Si,Hyundai HiS-S250MG,Hyundai HiS-S250MG,5.5,250.0,6.399999999999982e-05
10098,-0.00312,cec_technology,Thin Film,561,amorphous si,Unisolar PVL-128 PVL-136,Unisolar PVL-128 PVL-136,1.806,129.0,0.0013799999999999997
10099,-0.00386,cec_manufacturer,SUNPOWER,190,Unknown,SunPower,SunPower,4.14,230.0,0.0006399999999999995
10100,-0.0045,fleet_default,cec_xsi_median,0,Unknown,Eoplly E156M/60-250,Eoplly E156M/60-250,6.5,250.0,0.0
10101,-0.0039000000000000003,cec_manufacturer,LG,371,mono-Si,LG 260 SC,LG 260 SC,4.864,256.0,0.0005999999999999994
10102,-0.00416,cec_manufacturer,JINKO,486,Unknown,21 jinko,21 jinko,4.935,235.0,0.00034
10103,-0.00466,cec_manufacturer,SCHOTT,37,Unknown,7-Schott 235 14-Sunvia 240,7-Schott 235 14-Sunvia 240,4.998,238.0,-0.00016000000000000042
10104,-0.00453,cec_module,SHARPNDF2Q235,1,multi-Si,Sharp ND-F2Q235,Sharp ND-F2Q235,6.11,235.0,-3.0000000000000512e-05
10105,-0.004472,cec_manufacturer,SUNIVA,150,Unknown,Suniva,Suniva,6.72,240.0,2.799999999999938e-05
10106,-0.0043,cec_module,KD210GXLFBS,1,multi-Si,Kyocera KD210GX-LFBS,Kyocera KD210GX-LFBS,5.04,210.0,0.00019999999999999966
10107,-0.0040999999999999995,cec_module,PVUJ225GA6,2,multi-Si,Mitsubishi PV-UJ225GA6,Mitsubishi PV-UJ225GA6,10.8,225.0,0.0004000000000000002
10108,-0.0043,cec_manufacturer,SOLARWORLD,89,mono-Si,Solarworld Mono,Solarworld Mono,8.16,255.0,0.00019999999999999966
10109,-0.0045000000000000005,cec_module,TSM245PA05,11,multi-Si,Trina TSM-245PA05,Trina TSM-245PA05,5.88,245.0,-8.673617379884035e-19
10110,-0.0046992299999999996,cec_module,MBA1BG250,1,mono-Si,Samsung MBA1BG250,Samsung MBA1BG250,3.75,250.0,-0.0001992299999999999
10111,-0.00424,cec_manufacturer,CANADIANSOLAR,409,Unknown,Canadian Solar,,7.68,240.0,0.0002599999999999998
10112,-0.0045000000000000005,cec_module,ETP660250WB,8,multi-Si,ET Solar,et-p660250wb,6.0,250.0,-8.673617379884035e-19
10113,-0.004515,cec_technology,Multi-c-Si,11221,multi-Si,Evergreen ES-E-220-fc3,Evergreen ES-E-220-fc3,6.6,220.0,-1.5000000000000256e-05
10114,-0.0039000000000000003,cec_manufacturer,LG,371,Unknown,LG,LG,3.06,255.0,0.0005999999999999994
10116,-0.00439,cec_module,SHARPND240QCJ,1,multi-Si,Sharp ND-240QCJ,Sharp ND-240QCJ,2.4,240.0,0.00010999999999999985
10117,-0.0045,fleet_default,cec_xsi_median,0,Unknown,MEMC,MEMC,4.8,240.0,0.0
10118,-0.00413,cec_module,PS240P20,3,multi-Si,Phono PS240P-20/U  240W,Phono PS240P-20/U  240W,3.924,218.0,0.00036999999999999967
10119,-0.004301,cec_manufacturer,SUNTECH,243,mono-Si,Suntech 245 Mono,Suntech 245 Mono,10.29,245.0,0.00019899999999999952
10120,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,Solarworld,Solarworld,4.8,240.0,0.00019999999999999966
10121,-0.0045,fleet_default,cec_xsi_median,0,Unknown,Sunvia,Sunvia,4.25,250.0,0.0
10122,-0.0043,cec_manufacturer,SOLARWORLD,89,Unknown,Solar World,Solar World,5.635,245.0,0.00019999999999999966
10123,-0.004378,cec_module,PLUTO245WDE,1,multi-Si,Sun tech pluto245-wde,Sun tech pluto245-wde,6.86,245.0,0.00012199999999999971
10124,-0.00481,cec_module,SW255,5,Unknown,SolarWorld  SW255,SolarWorld  SW255,7.65,255.0,-0.0003100000000000004
10125,-0.0045,fleet_default,cec_xsi_median,0,Unknown,AUO,AUO,9.88,260.0,0.0
10126,-0.0031,cec_manufacturer,SANYO,110,Unknown,Sanyo,Sanyo,3.28,205.0,0.0013999999999999998
10128,-0.004378,cec_module,PLUTO240WDE,1,multi-Si,Suntech PLUTO240-Wde,Suntech PLUTO240-Wde,6.24,240.0,0.00012199999999999971
10129,-0.0045000000000000005,cec_technology,Mono-c-Si,9725,mono-Si,Aleo S_79,Aleo S_79,4.32,240.0,-8.673617379884035e-19
10131,-0.0043300000000000005,cec_manufacturer,ASTRONERGY,174,multi-Si,Astronergy CHSM-6610P-240w,Astronergy CHSM-6610P-240w,9.84,240.0,0.00016999999999999914
10132,-0.0045,fleet_default,cec_xsi_median,0,Unknown,Ningbo,Ningbo,4.928,176.0,0.0
10133,-0.00458,cec_module,SHARPNUQ235F4,1,mono-Si,Sharp NU-Q235F4,Sharp NU-Q235F4,7.05,235.0,-8.000000000000021e-05
10134,-0.004515,cec_technology,Multi-c-Si,11221,multi-Si,Centro Solar E 240 B,Centro Solar E 240 B,7.44,240.0,-1.5000000000000256e-05
10135,-0.00425,cec_module,REC245,18,Unknown,REC245,REC245,4.41,245.0,0.00024999999999999935
10137,-0.00424,cec_manufacturer,CANADIANSOLAR,409,mono-Si,Canadian Solar,cs6m-240m,3.44,215.0,0.0002599999999999998
